index,record_id,building_id,timestamp,season,subject_id,age,gender,ht,wt,ta,ta_h,ta_m,ta_l,top,tr,tg,tg_h,tg_m,tg_l,rh,vel,vel_h,vel_m,vel_l,met,clo,activity_10,activity_20,activity_30,activity_60,thermal_sensation,thermal_acceptability,thermal_preference,thermal_comfort,air_movement_acceptability,air_movement_preference,blind_curtain,fan,window,door,heater,rh_out,t_out_monthly,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd,city,building_type,cooling_type,records,database,t_out_combined,country
46082,46083,376,2020-11-29T00:00:00Z,winter,,25.0,female,,,18.3,,18.3,,19.09,19.88,19.6,,19.6,,66.2,0.02,,0.02,,1.4,1.05,1.4,1.4,1.4,1.4,0.0,acceptable,no change,5.0,acceptable,no change,,0.0,1.0,,0.0,,18.3,61.99603156993431,24.3,-0.28,6.6,-0.2,5.8,17.5,delhi,multifamily housing,mixed mode,6,2.1,16.2625,india
46096,46097,379,2020-12-27T00:00:00Z,winter,,55.0,female,,,20.8,,20.8,,19.93,19.06,19.3,,19.3,,69.1,0.01,,0.01,,1.35,0.83,1.4,1.4,1.4,1.2,-1.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,14.23,71.33684374253203,23.1,-0.38,8.0,-0.38,8.0,13.2,delhi,multifamily housing,mixed mode,10,2.1,14.540277777777778,india
46097,46098,379,2020-12-27T00:00:00Z,winter,,55.0,male,,,20.0,,20.0,,19.57,19.13,19.3,,19.3,,73.7,0.02,,0.02,,1.05,0.59,1.0,1.0,1.2,1.0,0.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,14.23,71.33684374253203,19.4,-1.7,61.7,-1.7,61.7,13.2,delhi,multifamily housing,mixed mode,10,2.1,14.540277777777778,india
46098,46099,379,2020-12-27T00:00:00Z,winter,,35.0,female,,,20.5,,20.5,,19.76,18.64,19.0,,19.0,,69.4,0.02,,0.02,,1.95,1.18,2.5,2.5,1.4,1.4,0.0,acceptable,warmer,5.0,acceptable,no change,,0.0,0.0,,0.0,,14.23,71.33684374253203,29.5,0.48,9.7,0.31,7.0,13.2,delhi,multifamily housing,mixed mode,10,2.1,14.540277777777778,india
46099,46100,379,2020-12-27T00:00:00Z,winter,,25.0,male,,,20.6,,20.6,,19.67,18.75,19.0,,19.0,,70.0,0.01,,0.01,,1.1,0.39,1.1,1.1,1.1,1.1,2.0,acceptable,cooler,4.0,acceptable,more,,0.0,0.0,,0.0,,14.23,71.33684374253203,17.8,,,-2.17,83.7,13.2,delhi,multifamily housing,mixed mode,10,2.1,14.540277777777778,india
46100,46101,379,2020-12-27T00:00:00Z,winter,,35.0,male,,,18.6,,18.6,,19.33,20.05,19.4,,19.4,,71.6,0.16,,0.16,,1.13,0.79,1.1,1.1,1.2,1.1,-1.0,acceptable,no change,5.0,acceptable,no change,,0.0,1.0,,0.0,,14.23,71.33684374253203,21.1,-1.3,40.1,-1.21,35.9,13.2,delhi,multifamily housing,mixed mode,10,2.1,14.540277777777778,india
46112,46113,382,2020-11-21T00:00:00Z,winter,,45.0,male,,,19.8,,19.8,,20.0,20.2,20.2,,20.2,,50.1,0.0,,0.0,,1.0,0.67,1.2,0.8,0.8,1.2,0.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,18.3,60.73527029328488,20.2,-1.69,61.2,-1.69,61.2,18.3,delhi,multifamily housing,mixed mode,12,2.1,16.1,india
46113,46114,382,2020-11-21T00:00:00Z,winter,,45.0,female,,,20.8,,20.8,,20.97,21.15,21.1,,21.1,,48.8,0.01,,0.01,,1.25,1.11,1.0,1.2,1.4,1.4,0.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,18.3,60.73527029328488,25.4,0.01,5.0,0.01,5.0,18.3,delhi,multifamily housing,mixed mode,12,2.1,16.1,india
46114,46115,382,2020-11-21T00:00:00Z,winter,,25.0,female,,,20.8,,20.8,,20.86,20.92,20.9,,20.9,,48.6,0.01,,0.01,,1.3,0.65,1.2,1.2,1.4,1.4,-3.0,unacceptable,warmer,2.0,acceptable,no change,,0.0,0.0,,0.0,,18.3,60.73527029328488,21.8,-0.66,14.3,-0.66,14.3,18.3,delhi,multifamily housing,mixed mode,12,2.1,16.1,india
46116,46117,382,2020-12-30T00:00:00Z,winter,,45.0,female,,,15.7,,15.7,,15.25,14.8,14.8,,14.8,,67.9,0.0,,0.0,,1.5,1.32,1.2,1.2,1.8,1.8,0.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,14.23,82.57263061994584,24.0,-0.45,9.2,-0.39,8.1,12.7,delhi,multifamily housing,mixed mode,12,2.1,9.920833333333333,india
46117,46118,382,2020-12-30T00:00:00Z,winter,,45.0,male,,,13.7,,13.7,,13.95,14.2,14.2,,14.2,,70.0,0.0,,0.0,,1.33,0.65,0.8,1.5,1.5,1.5,-1.0,acceptable,warmer,3.0,acceptable,no change,,0.0,1.0,,0.0,,14.23,82.57263061994584,15.3,,,-2.33,89.2,12.7,delhi,multifamily housing,mixed mode,12,2.1,9.920833333333333,india
46118,46119,382,2020-12-30T00:00:00Z,winter,,25.0,female,,,15.7,,15.7,,15.12,14.53,14.7,,14.7,,67.6,0.01,,0.01,,1.4,1.12,1.4,1.4,1.4,1.4,-1.0,unacceptable,warmer,3.0,acceptable,no change,,0.0,0.0,,0.0,,14.23,82.57263061994584,21.3,-0.86,20.8,-0.86,20.8,12.7,delhi,multifamily housing,mixed mode,12,2.1,9.920833333333333,india
